Une Souris Verte,Une souris qui ... dans l'herbe Je l'attrape ... Je la montre à ...,courait / par la queue / ces messieurs,MEMOIRE,courait / par la queue / ces messieurs,mangeait / par les joue / ses monsieurs,courait / par les cheveux / ses madames
Une Souris Verte,Je la montre à ... Ces ... me ...,ces messieurs / messieurs / disent,ORTHOGRAPHE,ces messieurs / monsieurs / dises,ces messieurs / messieurs / disent,c'est messieurs / messieurs / dirent
Une Souris Verte,Une souris verte qui ... dans l'herbe Je l'... Je la ...,courait / attrape / montre,CONJUGAISON,couré / attrapé / montrer,couraient / attrapons / montrons,courait / attrape / montre
Au Clair de la Lune,Prêtes-moi ... Pour ecrire ... Ma ... est morte,ta plume / un mot / chandelle,MEMOIRE,ton sylo / un seize / bougie,ta machine à écrire / un roman / lanterne,ta plume / un mot / chandelle
Au Clair de la Lune,Je n'... plus de feu ...-moi ta porte,ai / Ouvre,CONJUGAISON,est / Ouvré,ai / Ouvre,et / Ouvre
Au Clair de la Lune,Ouvre-moi ta ... Pour l'... de Dieu,porte / amour,ORTHOGRAPHE,porte / amour,port / amoure,portte / ammour
Never Gonna Give You Up,I just want to ... you how I'm feeling,tell,ORTHOGRAPHE,teel,tell,telle
Never Gonna Give You Up,Never gonna ... you down,let,MEMOIRE,put,pull,let
Never Gonna Give You Up,Never gonna ... goodbye,say,CONJUGAISON,said,say,saying
Promenons-nous dans les bois,Mais comme il y ... pas Il nous ... pas. ... y es-tu ? Que fais-tu ? M'entends-tu ?,est / mangera / Loup,MEMOIRE,trouve / mangera / Cheval,est / buvera / Loup,est / mangera / Loup
Promenons-nous dans les bois,Loup y ...-tu ? Que ...-tu ? M'...-tu ?,es / fais / entends,CONJUGAISON,es / fait / entend,es / fais / entends,est / fait / entens
Promenons-nous dans les bois,Le loup : « Je mets ma ... » Le loup : « Je mets ma ... » Le loup : « Je mets mes ... »,chemise / culotte / chaussettes,ORTHOGRAPHE,chemise / culotte / chaussettes,chemisse / culote / chaussettes,shemise / culotte / chossettes
À la claire fontaine,M'en allant ... J'ai trouvé l'eau si ... Que je m'y suis ...,promener / belle / baigné,MEMOIRE,balader / belle / perdu,promener / belle / baigné,promener / miel / assis
À la claire fontaine,J'ai ... mon amie Sans l'... mérité Pour un bouquet de roses Que je lui ...,perdu / avoir / refusai,CONJUGAISON,perdu / ayant / refuser,perdu / avoir / refusai,perdi / avez / refusai
À la claire fontaine,Chante ... chante Toi qui a le coeur ...,rossignol / gai,ORTHOGRAPHE,rossignol / gaies,rossignole / gai,rossignol / gai
Balance ton quoi,Les ... me disent à demi-mot Pour une fille ... t'es pas si bête Pour une fille drôle t'es pas si ...,gens / belle / laide,MEMOIRE,gens / belle / laide,gens / laide / belle,personne / belle / drôle
Balance ton quoi,Bah faudrait p't'être ... les codes Une fille qui l'... ça ... normal,casser / ouvre / serait,CONJUGAISON,cassait / ouvrer / serait,casser / ouvra / est,casser / ouvre / serait
Balance ton quoi,Même si tu parles mal des ... je sais qu'au fond t'as ...,filles / compris,ORTHOGRAPHE,filles / compris,fils / conpris,fille / compri
Petit Escargot,Petite  Vole dans le ciel Vers sa ...,hirondelle / maisonnette,MEMOIRE,hirondelle / maisonnette,voiturette / maisonnette,hirondelle / toiture
Petit Escargot,Il ... le soleil ... des gazelles Personne ne l'...,cherche / Mange / embête,CONJUGAISON,chercha / Mangea / embêta,cherche / Mange / embête,chercher / Manger / embêter
Petit Escargot,Il cherche le ... Mange des ... ... ne l'embête,soleil / gazelles / Personne,ORTHOGRAPHE,soleille / gazel / Person,solleil / gazeles / Persone,soleil / gazelles / Personne
Formidable,Pourquoi t'es tout ...? Ben reviens ... Et qu'est-ce que vous avez tous À me ... comme un singe vous?,rouge / gamin / regarder,MEMOIRE,rouge / gamin / regarder,rouge / mon gosse / regarder,bleu / gamin / relouquer
Formidable,Hé petite oh pardon petit Tu ... dans la vie y ... ni méchants ni gentils,sais / a,CONJUGAISON,sais / aura,sais / a,s'est / a
Formidable,Mec t'... pas Elle va t'... comme elles le font ... fois,emballes / larguer / chaque,ORTHOGRAPHE,embales / larguaient / chaque,emballes / larguer / Shaq,emballes / larguer / chaque
En Feu,Comme l'équipe d'Algérie en coupe du monde au ... Ce soir je suis un Warrior ...-moi Stephen Curry,Brazil / appelle,MEMOIRE,Argentine / presente,Brazil / appelle,Perou / chuchote
En Feu,Ce soir je ne ... pas mais j'... avec le trophée,joue / repars,CONJUGAISON,jouer / repars,joue / repars,joues / repart
En Feu,Je sors de ... heures de ... amène-moi Teddy Riner,deux / sport,ORTHOGRAPHE,deux / sport,de / spore,2 / spor
Dommage,dans la ... de sa vie la ... est sa boué,tempête / musique,MEMOIRE,bataille / kpop,tempête / musique,bataille / raclette
Dommage,ah elle ... dû y aller,aurait,CONJUGAISON,orée,auraient,aurait
Dommage,elle a sur ... le corps des ... de la couleur du ...,tout / tâches / ciel,ORTHOGRAPHE,tout / tâches / ciel,tous / flash / miel,tout / flash / ciel
Évidemment,Etre à ... c'est pas donné,deux,MEMOIRE,plusieurs,deux,trois
Évidemment,c'... pas ... de tenir longtemps,est / donné,CONJUGAISON,ait / donner,est / donner,est / donné
Évidemment,... ça c'est ...,tout / vieux,ORTHOGRAPHE,tous / vieux,tout / vieus,tout / vieux